Donné image triangle

Auteur: 	 code_complet_seul_axe.py
Date: 		 2022-06-03 12:45:36.765223
Enregitrement d'image: 	 non

LEGENDE: 
V: 	 image trêtée avec sucsess
I: 	 image trêtée avec sucsess mais il y a eu des point parasite détecter donc il y a possibilité d'impresision
W: 	 il y a surment eu des problème de traitement

F: 	 Erreur sur le traitement d'image

V	Id = 0	color_0053.png : 		 Centre:	[[564, 136], [561, 224], [671, 226], [784, 221]]			 axe X: 	[[31, 0], [33, 0], [33, -1], [33, 0]]			 axe Y: 	[[0, -24], [0, -27], [-2, -27], [-3, -26]]
V	Id = 0	color_0054.png : 		 Centre:	[[566, 135], [562, 224], [672, 225], [785, 221]]			 axe X: 	[[31, 0], [33, 0], [33, -1], [33, 0]]			 axe Y: 	[[0, -24], [1, -27], [-2, -27], [-3, -26]]
V	Id = 0	color_0055.png : 		 Centre:	[[566, 135], [563, 223], [673, 225], [786, 221]]			 axe X: 	[[32, 0], [33, -1], [32, -1], [33, -1]]			 axe Y: 	[[1, -24], [0, -27], [-2, -27], [-3, -27]]
V	Id = 0	color_0056.png : 		 Centre:	[[567, 137], [563, 225], [674, 227], [786, 223]]			 axe X: 	[[31, 0], [33, 0], [32, 0], [33, 0]]			 axe Y: 	[[0, -24], [0, -26], [-2, -27], [-3, -26]]
V	Id = 0	color_0057.png : 		 Centre:	[[566, 137], [563, 225], [673, 227], [785, 223]]			 axe X: 	[[31, 0], [33, 0], [32, 0], [33, 0]]			 axe Y: 	[[0, -24], [0, -26], [-2, -26], [-3, -26]]
V	Id = 0	color_0058.png : 		 Centre:	[[566, 137], [563, 224], [673, 227], [785, 223]]			 axe X: 	[[31, 0], [33, 0], [33, 0], [32, 0]]			 axe Y: 	[[0, -24], [1, -26], [-2, -26], [-4, -26]]
V	Id = 0	color_0059.png : 		 Centre:	[[567, 137], [563, 225], [674, 227], [786, 224]]			 axe X: 	[[31, 0], [33, 0], [33, 0], [33, 0]]			 axe Y: 	[[0, -25], [0, -27], [-2, -27], [-3, -26]]
V	Id = 0	color_0060.png : 		 Centre:	[[567, 138], [563, 226], [673, 227], [786, 224]]			 axe X: 	[[31, 0], [33, 0], [33, 0], [32, 0]]			 axe Y: 	[[0, -23], [0, -26], [-1, -26], [-4, -26]]
V	Id = 0	color_0061.png : 		 Centre:	[[567, 136], [563, 223], [674, 226], [786, 222]]			 axe X: 	[[31, 1], [33, 0], [32, -1], [33, 0]]			 axe Y: 	[[0, -24], [0, -27], [-2, -27], [-3, -27]]
V	Id = 0	color_0062.png : 		 Centre:	[[570, 137], [565, 225], [676, 227], [788, 223]]			 axe X: 	[[31, 0], [33, 0], [32, 0], [33, 0]]			 axe Y: 	[[0, -24], [0, -27], [-2, -26], [-3, -26]]
V	Id = 0	color_0063.png : 		 Centre:	[[571, 137], [567, 225], [677, 227], [789, 223]]			 axe X: 	[[31, 0], [33, 0], [33, 0], [32, 0]]			 axe Y: 	[[0, -24], [0, -26], [-1, -26], [-4, -26]]
V	Id = 0	color_0064.png : 		 Centre:	[[571, 136], [567, 223], [677, 226], [790, 223]]			 axe X: 	[[31, 0], [33, 0], [33, 0], [32, 0]]			 axe Y: 	[[0, -24], [0, -27], [-2, -27], [-3, -27]]
V	Id = 0	color_0065.png : 		 Centre:	[[571, 138], [567, 226], [678, 228], [790, 225]]			 axe X: 	[[32, 0], [33, 0], [33, -1], [33, -1]]			 axe Y: 	[[1, -24], [1, -26], [-2, -27], [-3, -27]]
V	Id = 0	color_0066.png : 		 Centre:	[[571, 138], [567, 226], [678, 228], [790, 225]]			 axe X: 	[[31, 0], [33, 0], [33, 0], [33, 0]]			 axe Y: 	[[0, -24], [0, -26], [-1, -27], [-3, -26]]
V	Id = 0	color_0067.png : 		 Centre:	[[571, 137], [567, 225], [678, 227], [790, 224]]			 axe X: 	[[31, 0], [33, 0], [33, 0], [32, 0]]			 axe Y: 	[[0, -24], [0, -27], [-1, -27], [-3, -26]]
V	Id = 0	color_0068.png : 		 Centre:	[[572, 138], [568, 226], [678, 228], [790, 225]]			 axe X: 	[[32, 0], [33, 0], [32, -1], [33, -1]]			 axe Y: 	[[1, -24], [1, -27], [-2, -27], [-3, -27]]
V	Id = 0	color_0069.png : 		 Centre:	[[573, 138], [569, 225], [679, 228], [792, 225]]			 axe X: 	[[31, 1], [33, 0], [33, 0], [32, 0]]			 axe Y: 	[[0, -24], [0, -26], [-1, -26], [-3, -26]]
V	Id = 0	color_0070.png : 		 Centre:	[[574, 137], [569, 225], [679, 227], [792, 224]]			 axe X: 	[[32, 0], [33, 0], [33, 0], [33, -1]]			 axe Y: 	[[1, -24], [1, -27], [-2, -26], [-3, -27]]
V	Id = 0	color_0071.png : 		 Centre:	[[573, 138], [569, 225], [680, 228], [792, 225]]			 axe X: 	[[31, 0], [33, 0], [32, 0], [33, -1]]			 axe Y: 	[[0, -24], [1, -27], [-2, -26], [-3, -27]]
V	Id = 0	color_0072.png : 		 Centre:	[[573, 138], [568, 225], [679, 228], [791, 225]]			 axe X: 	[[32, 1], [33, 0], [33, 0], [33, 0]]			 axe Y: 	[[1, -24], [1, -26], [-1, -26], [-3, -26]]
V	Id = 0	color_0073.png : 		 Centre:	[[572, 138], [567, 225], [678, 228], [790, 225]]			 axe X: 	[[31, 0], [33, 0], [33, 0], [32, 0]]			 axe Y: 	[[0, -25], [0, -27], [-1, -27], [-3, -26]]
V	Id = 0	color_0074.png : 		 Centre:	[[573, 139], [568, 226], [679, 229], [791, 226]]			 axe X: 	[[31, 0], [33, 0], [33, 0], [33, 0]]			 axe Y: 	[[0, -24], [0, -26], [-1, -26], [-3, -26]]
V	Id = 0	color_0075.png : 		 Centre:	[[573, 137], [569, 225], [679, 228], [792, 224]]			 axe X: 	[[32, 0], [33, 0], [32, 0], [33, 0]]			 axe Y: 	[[1, -23], [0, -26], [-1, -26], [-3, -26]]
F					color_0076.png : 	pas trouvé
F					color_0077.png : 	pas trouvé
F					color_0078.png : 	pas trouvé
I	Id = 0	color_0079.png : 		 Centre:	[[552, 0], [547, 94], [660, 111], [759, 121]]			 axe X: 	[[33, 2], [34, 3], [34, 2], [33, 2]]			 axe Y: 	[[1, -26], [1, -29], [0, -29], [-1, -29]]
F					color_0080.png : 	pas trouvé
F					color_0081.png : 	pas trouvé
F					color_0082.png : 	pas trouvé
I	Id = 0	color_0083.png : 		 Centre:	[[557, 21], [552, 117], [665, 129], [782, 131]]			 axe X: 	[[33, 2], [34, 2], [34, 2], [33, 2]]			 axe Y: 	[[1, -25], [1, -28], [0, -28], [-1, -28]]
V	Id = 0	color_0084.png : 		 Centre:	[[563, 25], [554, 118], [667, 128], [783, 132]]			 axe X: 	[[32, 3], [34, 2], [34, 2], [34, 2]]			 axe Y: 	[[1, -24], [2, -28], [0, -28], [-1, -27]]
V	Id = 0	color_0085.png : 		 Centre:	[[566, 25], [557, 118], [670, 128], [786, 132]]			 axe X: 	[[33, 2], [34, 3], [34, 2], [33, 2]]			 axe Y: 	[[2, -25], [1, -28], [0, -29], [-1, -28]]
V	Id = 0	color_0086.png : 		 Centre:	[[567, 29], [556, 122], [669, 132], [785, 135]]			 axe X: 	[[32, 2], [34, 2], [34, 1], [34, 1]]			 axe Y: 	[[1, -26], [2, -28], [0, -28], [-1, -28]]
V	Id = 0	color_0087.png : 		 Centre:	[[566, 31], [556, 123], [669, 133], [784, 137]]			 axe X: 	[[33, 3], [34, 2], [34, 1], [33, 1]]			 axe Y: 	[[2, -25], [2, -28], [0, -28], [-1, -28]]
V	Id = 0	color_0088.png : 		 Centre:	[[565, 32], [555, 124], [668, 134], [784, 138]]			 axe X: 	[[32, 2], [34, 2], [34, 2], [33, 2]]			 axe Y: 	[[1, -26], [2, -28], [0, -28], [-2, -28]]
V	Id = 0	color_0089.png : 		 Centre:	[[565, 34], [555, 127], [668, 136], [784, 140]]			 axe X: 	[[32, 2], [34, 2], [34, 2], [33, 1]]			 axe Y: 	[[1, -26], [2, -28], [0, -28], [-1, -28]]
V	Id = 0	color_0090.png : 		 Centre:	[[565, 35], [556, 127], [669, 137], [784, 140]]			 axe X: 	[[33, 2], [34, 2], [33, 2], [33, 1]]			 axe Y: 	[[2, -25], [2, -27], [0, -27], [-2, -28]]
V	Id = 0	color_0091.png : 		 Centre:	[[564, 36], [555, 128], [668, 137], [783, 140]]			 axe X: 	[[32, 2], [35, 1], [34, 1], [33, 2]]			 axe Y: 	[[1, -26], [2, -28], [0, -28], [-2, -28]]
V	Id = 0	color_0092.png : 		 Centre:	[[562, 37], [554, 130], [667, 138], [782, 141]]			 axe X: 	[[33, 2], [34, 1], [34, 2], [33, 2]]			 axe Y: 	[[2, -25], [2, -28], [0, -27], [-1, -27]]
V	Id = 0	color_0093.png : 		 Centre:	[[562, 38], [553, 130], [667, 139], [782, 141]]			 axe X: 	[[32, 2], [34, 2], [34, 1], [33, 1]]			 axe Y: 	[[1, -25], [1, -28], [0, -28], [-2, -28]]
V	Id = 0	color_0094.png : 		 Centre:	[[563, 35], [554, 127], [667, 136], [782, 139]]			 axe X: 	[[32, 2], [35, 2], [34, 1], [34, 2]]			 axe Y: 	[[1, -25], [2, -28], [0, -28], [-1, -27]]
V	Id = 0	color_0095.png : 		 Centre:	[[563, 36], [554, 129], [668, 138], [783, 141]]			 axe X: 	[[33, 2], [34, 2], [34, 2], [34, 2]]			 axe Y: 	[[1, -26], [1, -28], [0, -28], [-1, -28]]
V	Id = 0	color_0096.png : 		 Centre:	[[563, 38], [555, 130], [668, 139], [783, 141]]			 axe X: 	[[32, 2], [34, 2], [33, 1], [33, 1]]			 axe Y: 	[[1, -25], [1, -27], [0, -28], [-1, -28]]
V	Id = 0	color_0097.png : 		 Centre:	[[564, 34], [556, 127], [669, 136], [784, 139]]			 axe X: 	[[33, 2], [34, 2], [34, 2], [33, 1]]			 axe Y: 	[[2, -26], [1, -28], [1, -28], [-2, -28]]
V	Id = 0	color_0098.png : 		 Centre:	[[565, 34], [556, 126], [669, 136], [785, 139]]			 axe X: 	[[32, 3], [34, 2], [34, 2], [33, 2]]			 axe Y: 	[[1, -25], [2, -28], [1, -28], [-1, -28]]
V	Id = 0	color_0099.png : 		 Centre:	[[566, 36], [557, 128], [670, 137], [785, 141]]			 axe X: 	[[33, 1], [34, 2], [34, 2], [33, 2]]			 axe Y: 	[[2, -26], [1, -28], [0, -28], [-2, -27]]
V	Id = 0	color_0100.png : 		 Centre:	[[567, 34], [557, 126], [670, 135], [786, 139]]			 axe X: 	[[32, 2], [34, 2], [34, 2], [34, 1]]			 axe Y: 	[[1, -25], [2, -28], [0, -28], [-1, -28]]
V	Id = 0	color_0101.png : 		 Centre:	[[565, 33], [555, 126], [668, 136], [784, 139]]			 axe X: 	[[33, 2], [35, 2], [34, 2], [33, 2]]			 axe Y: 	[[1, -26], [2, -28], [0, -28], [-1, -28]]
V	Id = 0	color_0102.png : 		 Centre:	[[564, 37], [554, 130], [667, 139], [782, 142]]			 axe X: 	[[32, 2], [34, 1], [33, 1], [34, 1]]			 axe Y: 	[[1, -25], [1, -29], [0, -28], [-1, -28]]
V	Id = 0	color_0103.png : 		 Centre:	[[562, 37], [553, 129], [667, 139], [782, 142]]			 axe X: 	[[33, 2], [34, 2], [34, 2], [34, 1]]			 axe Y: 	[[2, -25], [2, -28], [0, -28], [-1, -28]]
V	Id = 0	color_0104.png : 		 Centre:	[[562, 33], [553, 126], [666, 135], [782, 139]]			 axe X: 	[[33, 2], [35, 2], [33, 2], [33, 2]]			 axe Y: 	[[2, -25], [2, -29], [0, -28], [-1, -28]]
V	Id = 0	color_0105.png : 		 Centre:	[[563, 34], [554, 127], [668, 137], [783, 139]]			 axe X: 	[[32, 2], [34, 2], [34, 2], [33, 2]]			 axe Y: 	[[1, -25], [1, -28], [0, -28], [-2, -28]]
V	Id = 0	color_0106.png : 		 Centre:	[[563, 36], [555, 129], [668, 138], [783, 140]]			 axe X: 	[[33, 2], [34, 2], [33, 2], [33, 1]]			 axe Y: 	[[1, -26], [1, -28], [0, -28], [-1, -28]]
